ABIEALB;ABIEGRA;ABIENOR;ACERGRA;ACERPET;ALNUGLU;BETUSPP;CARPBET;CASTSAT;CEDRATL;CUPRSEM;FAGUSIL;FRAXSPP;JUGLSPP;LARIDEC;LARIKAE;PICEEXC;PICESIT;PINUBRU;PINUCEM;PINUHAL;PINULAR;PINUNIG;PINUPINA;PINUPINE;PINURAD;PINUSTR;PINUSYL;PINUTAE;PINUUNC;PLATHYB;POPUCUL;POPUTRE;PRUNAVI;PSEUMEN;QUERILE;QUERPAT;QUERPUB;QUERPYR;QUERROB;QUERRUB;QUERSUB;SORBARI;SORBAUC;SORBDOM;SORBTOR;TAXABAC;THUJPLI;TILISPP;TSUGHET;ULMUSPP
ABIEALB;0;1;1;5;5;5;5;5;5;2;3;5;5;5;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;5;5;5;5;2;5;5;5;5;5;5;5;5;5;5;5;3;3;5;2;5
ABIEGRA;1;0;1;5;5;5;5;5;5;2;3;5;5;5;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;5;5;5;5;2;5;5;5;5;5;5;5;5;5;5;5;3;3;5;2;5
ABIENOR;1;1;0;5;5;5;5;5;5;2;3;5;5;5;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;5;5;5;5;2;5;5;5;5;5;5;5;5;5;5;5;3;3;5;2;5
ACERGRA;5;5;5;0;1;4;4;4;4;5;5;4;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;4;4;4;5;4;4;4;4;4;4;4;4;4;4;4;5;5;4;5;4
ACERPET;5;5;5;1;0;4;4;4;4;5;5;4;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;4;4;4;5;4;4;4;4;4;4;4;4;4;4;4;5;5;4;5;4
ALNUGLU;5;5;5;4;4;0;2;2;3;5;5;3;4;3;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;4;4;4;5;3;3;3;3;3;3;3;4;4;4;4;5;5;4;5;4
BETUSPP;5;5;5;4;4;2;0;2;3;5;5;3;4;3;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;4;4;4;5;3;3;3;3;3;3;3;4;4;4;4;5;5;4;5;4
CARPBET;5;5;5;4;4;2;2;0;3;5;5;3;4;3;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;4;4;4;5;3;3;3;3;3;3;3;4;4;4;4;5;5;4;5;4
CASTSAT;5;5;5;4;4;3;3;3;0;5;5;2;4;3;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;4;4;4;5;2;2;2;2;2;2;2;4;4;4;4;5;5;4;5;4
CEDRATL;2;2;2;5;5;5;5;5;5;0;3;5;5;5;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;5;5;5;5;2;5;5;5;5;5;5;5;5;5;5;5;3;3;5;2;5
